Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Premier (5.0+),Group E,4,Single game,Fernandez/Kornfeld,Endurance,Fernandez/Kornfeld,21,15,,,,,Kyan Kornfeld,Tyler Fernandez,Maxwell Gunneson,Danny Gologorsky
Group Stage,Premier (5.0+),Group E,4,Single game,Jersey Boyz,PBR ELBROS,Jersey Boyz,21,10,,,,,Matt Spolarich,Corey Weiss,Michael Capobianco,Joel Morrell
Group Stage,Premier (5.0+),Group E,4,Single game,White Lotus Roundnet,Rowland’Sweeney,White Lotus Roundnet,21,16,,,,,Ely Marciano,Mitchell Carter,Stephen Sweeney,David Rowlands
Group Stage,Premier (5.0+),Group A,5,Single game,Sweet Nothings,Dad and Sun,Sweet Nothings,21,15,,,,,Brendan Ferreira,Noah Luskus,Sunny Gu,Dennis Joseph
Group Stage,Premier (5.0+),Group A,5,Single game,Pickle Juice,True,True,18,21,,,,,Josh Hutko,Sam Mccune,Artie Singer,Jack coolbaugh
Group Stage,Premier (5.0+),Group B,5,Single game,RVA Spike,Pruett/Bingham,RVA Spike,21,15,,,,,Will Picone,Brayden Latham,Lucas Pruett,Jared Bingham
Group Stage,Premier (5.0+),Group B,5,Single game,Free On Mach,We Serve,Free On Mach,21,16,,,,,Pat Marinich,Demitri Forand,Tyler Cisek,Desmond Benton
Group Stage,Premier (5.0+),Group C,5,Single game,Lazy Bots,Project Roundnet,Lazy Bots,21,16,,,,,Owen Lippman,Cade Larson,Samuel Corey,Josh Esposo
Group Stage,Premier (5.0+),Group C,5,Single game,Driver’s License,Dummy wide son,Dummy wide son,19,21,,,,,Charles Tipton,Alex Daly,A.j. Martin,Thomas Hoffman
Group Stage,Premier (5.0+),Group D,5,Single game,M. Model / R. Santiago,Guachos,Guachos,17,21,,,,,Max Model,Ricky Santiago,Josh Fragiacomo,Ryan Oswalt
Group Stage,Premier (5.0+),Group D,5,Single game,PBR Pickle Boys,Pocket Rockets,PBR Pickle Boys,21,19,,,,,Jacob Arzaga,Brian Perlson,Donald Fung,Nick Mesa
Group Stage,Premier (5.0+),Group E,5,Single game,Fernandez/Kornfeld,Jersey Boyz,Jersey Boyz,21,23,,,,,Kyan Kornfeld,Tyler Fernandez,Matt Spolarich,Corey Weiss
Group Stage,Premier (5.0+),Group E,5,Single game,Endurance,Rowland’Sweeney,Rowland’Sweeney,19,21,,,,,Maxwell Gunneson,Danny Gologorsky,Stephen Sweeney,David Rowlands
Group Stage,Premier (5.0+),Group E,5,Single game,PBR ELBROS,White Lotus Roundnet,White Lotus Roundnet,19,21,,,,,Michael Capobianco,Joel Morrell,Ely Marciano,Mitchell Carter
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,Guachos,PBR ELBROS,Guachos,21,12,21,16,,,Josh Fragiacomo,Ryan Oswalt,Michael Capobianco,Joel Morrell
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,Project Roundnet,LL Rookies,Project Roundnet,21,16,21,16,,,Samuel Corey,Josh Esposo,Rafi Moldovsky,Ryan Paul
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,PBR Pickle Boys,Jake & Charles,Jake & Charles,19,21,21,12,18,21,Jacob Arzaga,Brian Perlson,Charles Mordacq,Jake Mottershead
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,Free On Mach,Goodnow/Ulrich,Goodnow/Ulrich,17,21,17,21,,,Pat Marinich,Demitri Forand,Brody Ulrich,Jake Goodnow
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,LL Mosh,Endurance,Endurance,19,21,19,21,,,Josh DiDonato,Mike Garrett,Maxwell Gunneson,Danny Gologorsky
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,Fernandez/Kornfeld,Pickle Juice,Fernandez/Kornfeld,21,17,17,21,21,15,Kyan Kornfeld,Tyler Fernandez,Josh Hutko,Sam Mccune
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,True,Pocket Rockets,Pocket Rockets,21,12,17,21,20,22,Artie Singer,Jack coolbaugh,Donald Fung,Nick Mesa
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,Dummy wide son,Driver’s License,Driver’s License,18,21,20,22,,,A.j. Martin,Thomas Hoffman,Charles Tipton,Alex Daly
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,We Serve,Rowland’Sweeney,We Serve,21,18,21,16,,,Tyler Cisek,Desmond Benton,Stephen Sweeney,David Rowlands
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 32,Best of 3,Dad and Sun,Pruett/Bingham,Dad and Sun,21,23,28,26,33,31,Sunny Gu,Dennis Joseph,Lucas Pruett,Jared Bingham
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,RVA Spike,Dad and Sun,RVA Spike,21,18,21,12,,,Will Picone,Brayden Latham,Sunny Gu,Dennis Joseph
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,Lazy Bots,We Serve,Lazy Bots,21,10,21,11,,,Owen Lippman,Cade Larson,Tyler Cisek,Desmond Benton
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,Jersey Boyz,Driver’s License,Jersey Boyz,23,21,21,15,,,Matt Spolarich,Corey Weiss,Charles Tipton,Alex Daly
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,Sweet Nothings,Pocket Rockets,Sweet Nothings,23,21,21,10,,,Brendan Ferreira,Noah Luskus,Donald Fung,Nick Mesa
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,White Lotus Roundnet,Fernandez/Kornfeld,Fernandez/Kornfeld,14,21,19,21,,,Ely Marciano,Mitchell Carter,Kyan Kornfeld,Tyler Fernandez
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,M. Model / R. Santiago,Endurance,M. Model / R. Santiago,21,12,21,12,,,Max Model,Ricky Santiago,Maxwell Gunneson,Danny Gologorsky
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,Guachos,Goodnow/Ulrich,Guachos,21,15,21,15,,,Josh Fragiacomo,Ryan Oswalt,Brody Ulrich,Jake Goodnow
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Round of 16,Best of 3,Project Roundnet,Jake & Charles,Project Roundnet,21,19,21,16,,,Samuel Corey,Josh Esposo,Charles Mordacq,Jake Mottershead
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,P17: Round of 16,Best of 3,Free On Mach,PBR ELBROS,Free On Mach,17,21,21,13,21,11,Pat Marinich,Demitri Forand,Michael Capobianco,Joel Morrell
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,P17: Round of 16,Best of 3,PBR Pickle Boys,LL Rookies,PBR Pickle Boys,1,0,1,0,,,Jacob Arzaga,Brian Perlson,Rafi Moldovsky,Ryan Paul
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Quarter-final,Best of 3,RVA Spike,Project Roundnet,RVA Spike,16,21,21,13,21,16,Will Picone,Brayden Latham,Samuel Corey,Josh Esposo
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Quarter-final,Best of 3,Lazy Bots,Guachos,Guachos,21,15,19,21,19,21,Owen Lippman,Cade Larson,Josh Fragiacomo,Ryan Oswalt
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Quarter-final,Best of 3,Jersey Boyz,M. Model / R. Santiago,M. Model / R. Santiago,21,18,22,24,17,21,Matt Spolarich,Corey Weiss,Max Model,Ricky Santiago
Bracket Stage,Premier (5.0+),Bracket - 1:30 PM,Quarter-final,Best of 3,Sweet Nothings,Fernandez/Kornfeld,Sweet Nothings,21,17,21,17,,,Brendan Ferreira,Noah Luskus,Kyan Kornfeld,Tyler Fernandez
