Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Advanced 4.0,Group A,2,Single game,Sons of Siemann,RAM,Sons of Siemann,15,10,,,,,Barrett Maguire,James Hudson,Mark Randall,Richard Davis
Group Stage,Advanced 4.0,Group A,2,Single game,Mexican Rice,Lab rats,Lab rats,9,15,,,,,Ray Saenz,Joseph Dinh,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,3,Single game,SpikeMachas,Mexican Rice,SpikeMachas,15,12,,,,,Narender Reddy,Aravindhan P,Ray Saenz,Joseph Dinh
Group Stage,Advanced 4.0,Group A,3,Single game,SS's,RAM,SS's,15,11,,,,,Sricharan Modali,saikumar vummuti,Mark Randall,Richard Davis
Group Stage,Advanced 4.0,Group A,3,Single game,Woof Bark Dog,Sons of Siemann,Sons of Siemann,7,15,,,,,Armando Saenz,Brendan Walker,Barrett Maguire,James Hudson
Group Stage,Advanced 4.0,Group A,3,Single game,Flummoxed,Lab rats,Lab rats,5,15,,,,,Dylan Jimenez,Robert Sellers,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,3,Single game,Beginners Luck,Joint Crackers,Beginners Luck,15,8,,,,,Andrew Leasau,James Mack,Caleb Erwin,Josiah Cheng-Guajardo
Group Stage,Advanced 4.0,Group A,4,Single game,SpikeMachas,Beginners Luck,Beginners Luck,13,15,,,,,Narender Reddy,Aravindhan P,Andrew Leasau,James Mack
Group Stage,Advanced 4.0,Group A,4,Single game,SS's,Woof Bark Dog,SS's,15,8,,,,,Sricharan Modali,saikumar vummuti,Armando Saenz,Brendan Walker
Group Stage,Advanced 4.0,Group A,4,Single game,Sons of Siemann,Lab rats,Lab rats,6,15,,,,,Barrett Maguire,James Hudson,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,4,Single game,RAM,Joint Crackers,RAM,15,9,,,,,Mark Randall,Richard Davis,Caleb Erwin,Josiah Cheng-Guajardo
Group Stage,Advanced 4.0,Group A,4,Single game,Flummoxed,Mexican Rice,Flummoxed,15,10,,,,,Dylan Jimenez,Robert Sellers,Ray Saenz,Joseph Dinh
Group Stage,Advanced 4.0,Group A,5,Single game,SpikeMachas,Flummoxed,Flummoxed,6,15,,,,,Narender Reddy,Aravindhan P,Dylan Jimenez,Robert Sellers
Group Stage,Advanced 4.0,Group A,5,Single game,SS's,Lab rats,Lab rats,3,15,,,,,Sricharan Modali,saikumar vummuti,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,5,Single game,Woof Bark Dog,Joint Crackers,Woof Bark Dog,15,12,,,,,Armando Saenz,Brendan Walker,Caleb Erwin,Josiah Cheng-Guajardo
Group Stage,Advanced 4.0,Group A,5,Single game,Sons of Siemann,Mexican Rice,Mexican Rice,15,17,,,,,Barrett Maguire,James Hudson,Ray Saenz,Joseph Dinh
Group Stage,Advanced 4.0,Group A,5,Single game,RAM,Beginners Luck,Beginners Luck,7,15,,,,,Mark Randall,Richard Davis,Andrew Leasau,James Mack
Group Stage,Advanced 4.0,Group A,6,Single game,SpikeMachas,RAM,SpikeMachas,15,8,,,,,Narender Reddy,Aravindhan P,Mark Randall,Richard Davis
Group Stage,Advanced 4.0,Group A,6,Single game,SS's,Mexican Rice,SS's,15,8,,,,,Sricharan Modali,saikumar vummuti,Ray Saenz,Joseph Dinh
Group Stage,Advanced 4.0,Group A,6,Single game,Woof Bark Dog,Beginners Luck,Beginners Luck,5,15,,,,,Armando Saenz,Brendan Walker,Andrew Leasau,James Mack
Group Stage,Advanced 4.0,Group A,6,Single game,Sons of Siemann,Flummoxed,Flummoxed,11,15,,,,,Barrett Maguire,James Hudson,Dylan Jimenez,Robert Sellers
Group Stage,Advanced 4.0,Group A,6,Single game,Joint Crackers,Lab rats,Lab rats,3,15,,,,,Caleb Erwin,Josiah Cheng-Guajardo,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,7,Single game,SpikeMachas,Sons of Siemann,SpikeMachas,15,8,,,,,Narender Reddy,Aravindhan P,Barrett Maguire,James Hudson
Group Stage,Advanced 4.0,Group A,7,Single game,SS's,Flummoxed,Flummoxed,16,18,,,,,Sricharan Modali,saikumar vummuti,Dylan Jimenez,Robert Sellers
Group Stage,Advanced 4.0,Group A,7,Single game,Woof Bark Dog,RAM,RAM,14,16,,,,,Armando Saenz,Brendan Walker,Mark Randall,Richard Davis
Group Stage,Advanced 4.0,Group A,7,Single game,Beginners Luck,Lab rats,Lab rats,5,15,,,,,Andrew Leasau,James Mack,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,7,Single game,Mexican Rice,Joint Crackers,Mexican Rice,15,13,,,,,Ray Saenz,Joseph Dinh,Caleb Erwin,Josiah Cheng-Guajardo
Group Stage,Advanced 4.0,Group A,8,Single game,SpikeMachas,Woof Bark Dog,SpikeMachas,15,6,,,,,Narender Reddy,Aravindhan P,Armando Saenz,Brendan Walker
Group Stage,Advanced 4.0,Group A,8,Single game,SS's,Sons of Siemann,SS's,15,8,,,,,Sricharan Modali,saikumar vummuti,Barrett Maguire,James Hudson
Group Stage,Advanced 4.0,Group A,8,Single game,RAM,Lab rats,Lab rats,6,15,,,,,Mark Randall,Richard Davis,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,8,Single game,Flummoxed,Joint Crackers,Flummoxed,15,6,,,,,Dylan Jimenez,Robert Sellers,Caleb Erwin,Josiah Cheng-Guajardo
Group Stage,Advanced 4.0,Group A,8,Single game,Beginners Luck,Mexican Rice,Beginners Luck,15,12,,,,,Andrew Leasau,James Mack,Ray Saenz,Joseph Dinh
Group Stage,Advanced 4.0,Group A,9,Single game,SpikeMachas,SS's,SS's,15,17,,,,,Narender Reddy,Aravindhan P,Sricharan Modali,saikumar vummuti
Group Stage,Advanced 4.0,Group A,9,Single game,Woof Bark Dog,Lab rats,Lab rats,8,15,,,,,Armando Saenz,Brendan Walker,Michael Milliorn,Samuel Cole
Group Stage,Advanced 4.0,Group A,9,Single game,Sons of Siemann,Joint Crackers,Sons of Siemann,15,4,,,,,Barrett Maguire,James Hudson,Caleb Erwin,Josiah Cheng-Guajardo
Group Stage,Advanced 4.0,Group A,9,Single game,RAM,Mexican Rice,Mexican Rice,12,15,,,,,Mark Randall,Richard Davis,Ray Saenz,Joseph Dinh
