"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"queencityclassic2023","Premier 5.0+","Pool","F.F.","Bunze/Bunze","Gabe Finocchi","Brendan Ferreira","Sam Bunze","Benjamin Bunze",21,10
"queencityclassic2023","Premier 5.0+","Pool","Evasive Maneuvers","Project Roundnet","Jenson Miller","Michael Barkman","Samuel Corey","Josh Esposo",21,15
"queencityclassic2023","Premier 5.0+","Pool","Almost Friday","Zebra Caked","Brian Perlson","Liam Sherron","John Buchanan","Samuel Davis",21,17
"queencityclassic2023","Premier 5.0+","Pool","TRP Spotless","Chilly Boost","Joe Bondi","Ryan Gross","Trevor Clements 704trev","Kieran Rose",21,13
"queencityclassic2023","Premier 5.0+","Pool","Glitch","GWR Fat Free","Luke Nickel","Cody Dryer","Calvin Smith","A.j. Martin",21,19
"queencityclassic2023","Premier 5.0+","Pool","Bev’d Up","Handy Andy’s","Sean Brown","Nate KT","Andrew Gunter","Andrew Raber",20,22
"queencityclassic2023","Premier 5.0+","Pool","Kingdom Come","GFD","Grant Klapwijk","Matthew Cole","Justin Barr","Andrew Sullivan",19,21
"queencityclassic2023","Premier 5.0+","Pool","here to slay","YMCA","bradley thompson","Dax O'Hair","david seo","Carter Hodgson",21,16
"queencityclassic2023","Premier 5.0+","Pool","Homemade Dynamite ","Eternal Atake","Demitri Forand","Henry Pilliod","Reid Lampert","Kurt Lannetti",18,21
"queencityclassic2023","Premier 5.0+","Pool","Creamy","Evasive Maneuvers","Ryan Marino","Patric Chu","Jenson Miller","Michael Barkman",21,16
"queencityclassic2023","Premier 5.0+","Pool","Project Roundnet","Zebra Caked","Samuel Corey","Josh Esposo","John Buchanan","Samuel Davis",24,25
"queencityclassic2023","Premier 5.0+","Pool","Bunze/Bunze","Almost Friday","Sam Bunze","Benjamin Bunze","Brian Perlson","Liam Sherron",24,25
"queencityclassic2023","Premier 5.0+","Pool","TRP Spotless","Bot House","Joe Bondi","Ryan Gross","Owen Lippman","West Peterson",21,15
"queencityclassic2023","Premier 5.0+","Pool","Chilly Boost","GWR Fat Free","Trevor Clements 704trev","Kieran Rose","Calvin Smith","A.j. Martin",21,16
"queencityclassic2023","Premier 5.0+","Pool","Glitch","Bev’d Up","Luke Nickel","Cody Dryer","Sean Brown","Nate KT",21,18
"queencityclassic2023","Premier 5.0+","Pool","Kingdom Come","TRP Dolphin Dive","Grant Klapwijk","Matthew Cole","Christian Bennett","Coleman Epperson's",21,16
"queencityclassic2023","Premier 5.0+","Pool","GFD","YMCA","Justin Barr","Andrew Sullivan","david seo","Carter Hodgson",21,8
"queencityclassic2023","Premier 5.0+","Pool","here to slay","Homemade Dynamite ","bradley thompson","Dax O'Hair","Demitri Forand","Henry Pilliod",18,21
"queencityclassic2023","Premier 5.0+","Pool","Creamy","F.F.","Ryan Marino","Patric Chu","Gabe Finocchi","Brendan Ferreira",22,24
"queencityclassic2023","Premier 5.0+","Pool","Evasive Maneuvers","Zebra Caked","Jenson Miller","Michael Barkman","John Buchanan","Samuel Davis",21,10
"queencityclassic2023","Premier 5.0+","Pool","Project Roundnet","Bunze/Bunze","Samuel Corey","Josh Esposo","Sam Bunze","Benjamin Bunze",16,21
"queencityclassic2023","Premier 5.0+","Round of 32","Chilly Boost","YMCA","Trevor Clements 704trev","Kieran Rose","david seo","Carter Hodgson",21,13
"queencityclassic2023","Premier 5.0+","Round of 32","Chilly Boost","YMCA","Trevor Clements 704trev","Kieran Rose","david seo","Carter Hodgson",21,13
"queencityclassic2023","Premier 5.0+","Round of 32","Bunze/Bunze","Zebra Caked","Sam Bunze","Benjamin Bunze","John Buchanan","Samuel Davis",21,12
"queencityclassic2023","Premier 5.0+","Round of 32","Bunze/Bunze","Zebra Caked","Sam Bunze","Benjamin Bunze","John Buchanan","Samuel Davis",21,18
"queencityclassic2023","Premier 5.0+","Round of 32","Homemade Dynamite ","GWR Fat Free","Demitri Forand","Henry Pilliod","Calvin Smith","A.j. Martin",21,15
"queencityclassic2023","Premier 5.0+","Round of 32","Homemade Dynamite ","GWR Fat Free","Demitri Forand","Henry Pilliod","Calvin Smith","A.j. Martin",24,26
"queencityclassic2023","Premier 5.0+","Round of 32","Homemade Dynamite ","GWR Fat Free","Demitri Forand","Henry Pilliod","Calvin Smith","A.j. Martin",21,15
"queencityclassic2023","Premier 5.0+","Round of 32","Almost Friday","Project Roundnet","Brian Perlson","Liam Sherron","Samuel Corey","Josh Esposo",21,17
"queencityclassic2023","Premier 5.0+","Round of 32","Almost Friday","Project Roundnet","Brian Perlson","Liam Sherron","Samuel Corey","Josh Esposo",18,21
"queencityclassic2023","Premier 5.0+","Round of 32","Almost Friday","Project Roundnet","Brian Perlson","Liam Sherron","Samuel Corey","Josh Esposo",19,21
"queencityclassic2023","Premier 5.0+","Round of 32","Bev’d Up","here to slay","Sean Brown","Nate KT","bradley thompson","Dax O'Hair",22,20
"queencityclassic2023","Premier 5.0+","Round of 32","Bev’d Up","here to slay","Sean Brown","Nate KT","bradley thompson","Dax O'Hair",21,18
