"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"texasnationals2023","Gold 5.0","Pool","Cheeky Boys","Breaking Point","Tyler Fernandez","Cade Larson","James Ledbetter","Caleb Allen",15,7
"texasnationals2023","Gold 5.0","Pool","WySpike Synergy","Low Blows","Matthew Burrows","Nick Noguez","Jonathan Yuan","Kevin Chen",15,5
"texasnationals2023","Gold 5.0","Pool","Luke","Reagan/Truman 2024 ","Luke Mowry","Luke Marshall","Rhett Howe","bradley thompson",15,10
"texasnationals2023","Gold 5.0","Pool","WySpike Butterfingers","Flummoxed","Colton Mowry","Garrett Hornok","Dylan Jimenez","Robert Sellers",15,5
"texasnationals2023","Gold 5.0","Pool","Splash","Cornelius/Wagoner","Brian Childs","fredric hinkle","Bryce Wagoner","Logan Cornelius",15,8
"texasnationals2023","Gold 5.0","Pool","Short Kings","Lab Rats","Caleb Cummings","Myles Coleman","Samuel Cole","Michael Milliorn",15,6
"texasnationals2023","Gold 5.0","Pool","TRP Pain Killers ","ClearBlade","Matthew Cole","Christian Bennett","Ethan McWhirter","Brian Jennerich",15,11
"texasnationals2023","Gold 5.0","Pool","Martinez/Arledge","Whatever idrc","Brandon Arledge","Felipe Martinez","Ian Austin","Micah Allin",14,16
"texasnationals2023","Gold 5.0","Pool","Cheeky Boys","Low Blows","Tyler Fernandez","Cade Larson","Jonathan Yuan","Kevin Chen",15,12
"texasnationals2023","Gold 5.0","Pool","Fool's Gold","Breaking Point","Jerm Porter","Josiah Sanders","James Ledbetter","Caleb Allen",15,13
"texasnationals2023","Gold 5.0","Pool","Luke","Flummoxed","Luke Mowry","Luke Marshall","Dylan Jimenez","Robert Sellers",15,4
"texasnationals2023","Gold 5.0","Pool","Hash Slinging Slashers","Reagan/Truman 2024 ","Paul Belton","Walter Siller","Rhett Howe","bradley thompson",11,15
"texasnationals2023","Gold 5.0","Pool","Splash","Lab Rats","Brian Childs","fredric hinkle","Samuel Cole","Michael Milliorn",15,9
"texasnationals2023","Gold 5.0","Pool","Walk in the Park","Cornelius/Wagoner","jacob gansle","Iason Hayes","Bryce Wagoner","Logan Cornelius",15,17
"texasnationals2023","Gold 5.0","Pool","TRP Pain Killers ","Martinez/Arledge","Matthew Cole","Christian Bennett","Brandon Arledge","Felipe Martinez",15,12
"texasnationals2023","Gold 5.0","Pool","Rice Cakes","Whatever idrc","Owen Lynch","JP Chincuanco","Ian Austin","Micah Allin",15,12
"texasnationals2023","Gold 5.0","Pool","Cheeky Boys","Fool's Gold","Tyler Fernandez","Cade Larson","Jerm Porter","Josiah Sanders",15,11
"texasnationals2023","Gold 5.0","Pool","WySpike Synergy","Breaking Point","Matthew Burrows","Nick Noguez","James Ledbetter","Caleb Allen",15,9
"texasnationals2023","Gold 5.0","Pool","Luke","Hash Slinging Slashers","Luke Mowry","Luke Marshall","Paul Belton","Walter Siller",15,7
"texasnationals2023","Gold 5.0","Pool","WySpike Butterfingers","Reagan/Truman 2024 ","Colton Mowry","Garrett Hornok","Rhett Howe","bradley thompson",15,11
"texasnationals2023","Gold 5.0","Pool","Splash","Walk in the Park","Brian Childs","fredric hinkle","jacob gansle","Iason Hayes",15,7
"texasnationals2023","Gold 5.0","Pool","Short Kings","Cornelius/Wagoner","Caleb Cummings","Myles Coleman","Bryce Wagoner","Logan Cornelius",15,10
"texasnationals2023","Gold 5.0","Pool","Rice Cakes","Martinez/Arledge","Owen Lynch","JP Chincuanco","Brandon Arledge","Felipe Martinez",8,15
"texasnationals2023","Gold 5.0","Pool","ClearBlade","Whatever idrc","Ethan McWhirter","Brian Jennerich","Ian Austin","Micah Allin",15,12
"texasnationals2023","Gold 5.0","Pool","WySpike Synergy","Fool's Gold","Matthew Burrows","Nick Noguez","Jerm Porter","Josiah Sanders",15,9
"texasnationals2023","Gold 5.0","Pool","Low Blows","Breaking Point","Jonathan Yuan","Kevin Chen","James Ledbetter","Caleb Allen",15,10
"texasnationals2023","Gold 5.0","Pool","WySpike Butterfingers","Hash Slinging Slashers","Colton Mowry","Garrett Hornok","Paul Belton","Walter Siller",15,9
"texasnationals2023","Gold 5.0","Pool","Flummoxed","Reagan/Truman 2024 ","Dylan Jimenez","Robert Sellers","Rhett Howe","bradley thompson",8,15
"texasnationals2023","Gold 5.0","Pool","Short Kings","Walk in the Park","Caleb Cummings","Myles Coleman","jacob gansle","Iason Hayes",15,11
"texasnationals2023","Gold 5.0","Pool","Lab Rats","Cornelius/Wagoner","Samuel Cole","Michael Milliorn","Bryce Wagoner","Logan Cornelius",13,15
"texasnationals2023","Gold 5.0","Pool","TRP Pain Killers ","Rice Cakes","Matthew Cole","Christian Bennett","Owen Lynch","JP Chincuanco",15,9
"texasnationals2023","Gold 5.0","Pool","Martinez/Arledge","ClearBlade","Brandon Arledge","Felipe Martinez","Ethan McWhirter","Brian Jennerich",11,15
"texasnationals2023","Gold 5.0","Pool","Cheeky Boys","WySpike Synergy","Tyler Fernandez","Cade Larson","Matthew Burrows","Nick Noguez",15,12
"texasnationals2023","Gold 5.0","Pool","Fool's Gold","Low Blows","Jerm Porter","Josiah Sanders","Jonathan Yuan","Kevin Chen",10,15
"texasnationals2023","Gold 5.0","Pool","Luke","WySpike Butterfingers","Luke Mowry","Luke Marshall","Colton Mowry","Garrett Hornok",15,12
"texasnationals2023","Gold 5.0","Pool","Hash Slinging Slashers","Flummoxed","Paul Belton","Walter Siller","Dylan Jimenez","Robert Sellers",15,8
"texasnationals2023","Gold 5.0","Pool","Splash","Short Kings","Brian Childs","fredric hinkle","Caleb Cummings","Myles Coleman",15,11
"texasnationals2023","Gold 5.0","Pool","Walk in the Park","Lab Rats","jacob gansle","Iason Hayes","Samuel Cole","Michael Milliorn",15,13
"texasnationals2023","Gold 5.0","Quarter-final","Splash","Reagan/Truman 2024 ","Brian Childs","fredric hinkle","Rhett Howe","bradley thompson",21,19
"texasnationals2023","Gold 5.0","Quarter-final","Splash","Reagan/Truman 2024 ","Brian Childs","fredric hinkle","Rhett Howe","bradley thompson",21,19
"texasnationals2023","Gold 5.0","Quarter-final","Cheeky Boys","Short Kings","Tyler Fernandez","Cade Larson","Caleb Cummings","Myles Coleman",21,14
"texasnationals2023","Gold 5.0","Quarter-final","Cheeky Boys","Short Kings","Tyler Fernandez","Cade Larson","Caleb Cummings","Myles Coleman",23,21
"texasnationals2023","Gold 5.0","Quarter-final","TRP Pain Killers ","WySpike Butterfingers","Matthew Cole","Christian Bennett","Colton Mowry","Garrett Hornok",21,16
"texasnationals2023","Gold 5.0","Quarter-final","TRP Pain Killers ","WySpike Butterfingers","Matthew Cole","Christian Bennett","Colton Mowry","Garrett Hornok",21,18
"texasnationals2023","Gold 5.0","Quarter-final","Luke","WySpike Synergy","Luke Mowry","Luke Marshall","Matthew Burrows","Nick Noguez",21,18
"texasnationals2023","Gold 5.0","Quarter-final","Luke","WySpike Synergy","Luke Mowry","Luke Marshall","Matthew Burrows","Nick Noguez",21,19
"texasnationals2023","Gold 5.0","Semi-final","Splash","Luke","Brian Childs","fredric hinkle","Luke Mowry","Luke Marshall",37,35
"texasnationals2023","Gold 5.0","Semi-final","Splash","Luke","Brian Childs","fredric hinkle","Luke Mowry","Luke Marshall",13,21
"texasnationals2023","Gold 5.0","Semi-final","Splash","Luke","Brian Childs","fredric hinkle","Luke Mowry","Luke Marshall",21,19
"texasnationals2023","Gold 5.0","Semi-final","Cheeky Boys","TRP Pain Killers ","Tyler Fernandez","Cade Larson","Matthew Cole","Christian Bennett",21,18
"texasnationals2023","Gold 5.0","Semi-final","Cheeky Boys","TRP Pain Killers ","Tyler Fernandez","Cade Larson","Matthew Cole","Christian Bennett",22,20
"texasnationals2023","Gold 5.0","P5: Semi-final","WySpike Synergy","Reagan/Truman 2024 ","Matthew Burrows","Nick Noguez","Rhett Howe","bradley thompson",16,21
"texasnationals2023","Gold 5.0","P5: Semi-final","WySpike Synergy","Reagan/Truman 2024 ","Matthew Burrows","Nick Noguez","Rhett Howe","bradley thompson",14,21
"texasnationals2023","Gold 5.0","P5: Semi-final","WySpike Butterfingers","Short Kings","Colton Mowry","Garrett Hornok","Caleb Cummings","Myles Coleman",0,1
"texasnationals2023","Gold 5.0","P5: Semi-final","WySpike Butterfingers","Short Kings","Colton Mowry","Garrett Hornok","Caleb Cummings","Myles Coleman",0,1
"texasnationals2023","Gold 5.0","Final","Splash","Cheeky Boys","Brian Childs","fredric hinkle","Tyler Fernandez","Cade Larson",16,21
"texasnationals2023","Gold 5.0","Final","Splash","Cheeky Boys","Brian Childs","fredric hinkle","Tyler Fernandez","Cade Larson",44,42
"texasnationals2023","Gold 5.0","Final","Splash","Cheeky Boys","Brian Childs","fredric hinkle","Tyler Fernandez","Cade Larson",19,21
"texasnationals2023","Gold 5.0","P3: Final","TRP Pain Killers ","Luke","Matthew Cole","Christian Bennett","Luke Mowry","Luke Marshall",-1,0
"texasnationals2023","Gold 5.0","P3: Final","TRP Pain Killers ","Luke","Matthew Cole","Christian Bennett","Luke Mowry","Luke Marshall",-1,0
"texasnationals2023","Gold 5.0","P5: Final","Reagan/Truman 2024 ","Short Kings","Rhett Howe","bradley thompson","Caleb Cummings","Myles Coleman",18,21
"texasnationals2023","Gold 5.0","P5: Final","Reagan/Truman 2024 ","Short Kings","Rhett Howe","bradley thompson","Caleb Cummings","Myles Coleman",22,17
"texasnationals2023","Gold 5.0","P5: Final","Reagan/Truman 2024 ","Short Kings","Rhett Howe","bradley thompson","Caleb Cummings","Myles Coleman",29,31
"texasnationals2023","Gold 5.0","Round of 16","Walk in the Park","Flummoxed","jacob gansle","Iason Hayes","Dylan Jimenez","Robert Sellers",21,12
"texasnationals2023","Gold 5.0","Round of 16","Walk in the Park","Flummoxed","jacob gansle","Iason Hayes","Dylan Jimenez","Robert Sellers",21,19
"texasnationals2023","Gold 5.0","Round of 16","Cornelius/Wagoner","Lab Rats","Bryce Wagoner","Logan Cornelius","Samuel Cole","Michael Milliorn",21,17
"texasnationals2023","Gold 5.0","Round of 16","Cornelius/Wagoner","Lab Rats","Bryce Wagoner","Logan Cornelius","Samuel Cole","Michael Milliorn",21,17
"texasnationals2023","Gold 5.0","Round of 16","Rice Cakes","Breaking Point","Owen Lynch","JP Chincuanco","James Ledbetter","Caleb Allen",21,17
"texasnationals2023","Gold 5.0","Round of 16","Rice Cakes","Breaking Point","Owen Lynch","JP Chincuanco","James Ledbetter","Caleb Allen",21,17
"texasnationals2023","Gold 5.0","Round of 16","Hash Slinging Slashers","Low Blows","Paul Belton","Walter Siller","Jonathan Yuan","Kevin Chen",19,21
"texasnationals2023","Gold 5.0","Round of 16","Hash Slinging Slashers","Low Blows","Paul Belton","Walter Siller","Jonathan Yuan","Kevin Chen",21,19
"texasnationals2023","Gold 5.0","Round of 16","Hash Slinging Slashers","Low Blows","Paul Belton","Walter Siller","Jonathan Yuan","Kevin Chen",21,19
"texasnationals2023","Gold 5.0","Quarter-final","Whatever idrc","Hash Slinging Slashers","Ian Austin","Micah Allin","Paul Belton","Walter Siller",0,1
"texasnationals2023","Gold 5.0","Quarter-final","Whatever idrc","Hash Slinging Slashers","Ian Austin","Micah Allin","Paul Belton","Walter Siller",1,0
"texasnationals2023","Gold 5.0","Quarter-final","Whatever idrc","Hash Slinging Slashers","Ian Austin","Micah Allin","Paul Belton","Walter Siller",1,0
"texasnationals2023","Gold 5.0","Quarter-final","Martinez/Arledge","Rice Cakes","Brandon Arledge","Felipe Martinez","Owen Lynch","JP Chincuanco",17,21
"texasnationals2023","Gold 5.0","Quarter-final","Martinez/Arledge","Rice Cakes","Brandon Arledge","Felipe Martinez","Owen Lynch","JP Chincuanco",17,21
"texasnationals2023","Gold 5.0","Quarter-final","ClearBlade","Cornelius/Wagoner","Ethan McWhirter","Brian Jennerich","Bryce Wagoner","Logan Cornelius",21,15
"texasnationals2023","Gold 5.0","Quarter-final","ClearBlade","Cornelius/Wagoner","Ethan McWhirter","Brian Jennerich","Bryce Wagoner","Logan Cornelius",21,19
"texasnationals2023","Gold 5.0","Quarter-final","Fool's Gold","Walk in the Park","Jerm Porter","Josiah Sanders","jacob gansle","Iason Hayes",12,21
"texasnationals2023","Gold 5.0","Quarter-final","Fool's Gold","Walk in the Park","Jerm Porter","Josiah Sanders","jacob gansle","Iason Hayes",18,21
"texasnationals2023","Gold 5.0","Semi-final","Whatever idrc","Walk in the Park","Ian Austin","Micah Allin","jacob gansle","Iason Hayes",0,1
"texasnationals2023","Gold 5.0","Semi-final","Whatever idrc","Walk in the Park","Ian Austin","Micah Allin","jacob gansle","Iason Hayes",1,0
"texasnationals2023","Gold 5.0","Semi-final","Whatever idrc","Walk in the Park","Ian Austin","Micah Allin","jacob gansle","Iason Hayes",1,0
"texasnationals2023","Gold 5.0","Semi-final","Rice Cakes","ClearBlade","Owen Lynch","JP Chincuanco","Ethan McWhirter","Brian Jennerich",1,0
"texasnationals2023","Gold 5.0","Semi-final","Rice Cakes","ClearBlade","Owen Lynch","JP Chincuanco","Ethan McWhirter","Brian Jennerich",1,0
"texasnationals2023","Gold 5.0","P5: Semi-final","Fool's Gold","Hash Slinging Slashers","Jerm Porter","Josiah Sanders","Paul Belton","Walter Siller",1,0
"texasnationals2023","Gold 5.0","P5: Semi-final","Fool's Gold","Hash Slinging Slashers","Jerm Porter","Josiah Sanders","Paul Belton","Walter Siller",1,0
"texasnationals2023","Gold 5.0","P5: Semi-final","Cornelius/Wagoner","Martinez/Arledge","Bryce Wagoner","Logan Cornelius","Brandon Arledge","Felipe Martinez",-1,0
"texasnationals2023","Gold 5.0","P5: Semi-final","Cornelius/Wagoner","Martinez/Arledge","Bryce Wagoner","Logan Cornelius","Brandon Arledge","Felipe Martinez",-1,0
"texasnationals2023","Gold 5.0","P9: Semi-final","Low Blows","Flummoxed","Jonathan Yuan","Kevin Chen","Dylan Jimenez","Robert Sellers",1,0
"texasnationals2023","Gold 5.0","P9: Semi-final","Low Blows","Flummoxed","Jonathan Yuan","Kevin Chen","Dylan Jimenez","Robert Sellers",1,0
"texasnationals2023","Gold 5.0","P9: Semi-final","Breaking Point","Lab Rats","James Ledbetter","Caleb Allen","Samuel Cole","Michael Milliorn",0,-1
